title, date, location, link, category, price
London Job Show | Careers & Job Fair,Fri| Apr 24| 11:00,Westfield London|Ariel Way|London|W12 7GF|,https://www.eventbrite.com/e/london-job-show-careers-job-fair-tickets-81338763431?aff=ebdssbdestsearch,"business,charity-and-causes",Free
AFSIC 2020 - Investing in Africa,Tue| May 5| 13:00,Park Plaza Westminster Bridge • London,https://www.eventbrite.co.uk/e/afsic-2020-investing-in-africa-tickets-63331782065?aff=ebdssbdestsearch,"business,community",Check event for more detail
PlanNet Marketing UK London Super Saturday,Sat| May 23| 10:00,Millennium Gloucester Hotel London Kensington|4-18 Harrington Gardens|London|SW7 4LH|,https://www.eventbrite.co.uk/e/plannet-marketing-uk-london-super-saturday-tickets-95112372667?aff=ebdssbdestsearch,business,£16.76
Mind the Product London 2020,Fri| Oct 2| 09:00,Barbican Hall|Silk Street|London|EC2Y 8DS|,https://www.eventbrite.com/e/mind-the-product-london-2020-tickets-85470674087?aff=ebdssbdestsearch,"business,community",£449 - £749
IRPM Annual Seminar 2020,Thu| May 21| 10:30,Queen Elizabeth II (QEII) Centre|Broad Sanctuary|Westminster|London|,https://www.eventbrite.co.uk/e/irpm-annual-seminar-2020-tickets-73966863881?aff=ebdssbdestsearch,business,£99 - £275
Gary Vaynerchuk in London 2020,Tue| May 5| 09:00,ILEC Conference Center|47 Lillie Road|London|SW6 1UD|,https://www.eventbrite.co.uk/e/gary-vaynerchuk-in-london-2020-tickets-86713904623?aff=ebdssbdestsearch,"business,community",From £79.17
CBI Annual Dinner 2020,Wed| May 20| 18:45,The Brewery|Chiswell Street|London|EC1Y 4SD|,https://www.eventbrite.co.uk/e/cbi-annual-dinner-2020-tickets-91119202989?aff=ebdssbdestsearch,"business,community",£378 - £4|788
WACL Gather 2020,Thu| May 21| 08:30,Kings Place|90 York Way|London|N1 9AG|,https://www.eventbrite.co.uk/e/wacl-gather-2020-tickets-84516524199?aff=ebdssbdestsearch,"business,community",From £617.94
SVPG Workshop - How To Create Products Customers Love - London - Apr 22-23|...,Wed| Apr 22| 09:00,Wallacespace Spitalfields|15-25 Artillery Lane|London|E1 7HA|,https://www.eventbrite.com/e/svpg-workshop-how-to-create-products-customers-love-london-apr-22-23-2020-tickets-79450046227?aff=ebdssbdestsearch,"business,science-and-tech",From $2|395
The At A Glance Conference 2020,Thu| Oct 15| 09:30,1 Birdcage Walk|1 Birdcage Walk|London|SW1A 2BJ|,https://www.eventbrite.co.uk/e/the-at-a-glance-conference-2020-tickets-88638236351?aff=ebdssbdestsearch,"business,community",£372 - £420
Copywriting Conference 2020,Thu| Oct 8| 09:00,The Royal Institution|21 Albemarle Street|London|W1S 4BS|,https://www.eventbrite.co.uk/e/copywriting-conference-2020-tickets-73350095109?aff=ebdssbdestsearch,"business,community",£318 - £474
Agencynomics: Agency For Good - Best in Class April 22nd 2020,Wed| Apr 22| 08:45,Ham Yard Hotel • Soho,https://www.eventbrite.co.uk/e/agencynomics-agency-for-good-best-in-class-april-22nd-2020-tickets-84599638797?aff=ebdssbdestsearch,business,Check event for more detail
SaaSGrowth2020 - Europes No.1 B2B Sales| Revenue & Marketing Leadership Con...,Wed| Jul 8| 07:30,Old Billingsgate|1 Old Billingsgate Walk Riverside|16 Lower Thames St|EC3R 6DX|,https://www.eventbrite.co.uk/e/saasgrowth2020-europes-no1-b2b-sales-revenue-marketing-leadership-conference-tickets-68728090569?aff=ebdssbdestsearch,business,£300 - £900
Most Contagious 2020| London,Thu| Dec 10| 08:30,Business Design Centre • London,https://www.eventbrite.co.uk/e/most-contagious-2020-london-tickets-85612704905?aff=ebdssbdestsearch,business,Check event for more detail
FutureNet World 2020,Tue| Sep 22| 09:30,99 City Road Conference Centre|99 City Road|London|EC1Y 1AX|,https://www.eventbrite.co.uk/e/futurenet-world-2020-tickets-64238010619?aff=ebdssbdestsearch,business,From £598.80
The Africa Debate 2020,Wed| Apr 29| 08:00,Guildhall|Basinghall Street|London|EC2V 7HH|,https://www.eventbrite.co.uk/e/the-africa-debate-2020-tickets-77869725445?aff=ebdssbdestsearch,"business,charity-and-causes",£600 - £1|140
AltFi London Summit 2020,Mon| May 18| 08:30,etc. venues 155 Bishopsgate|155 Bishopsgate|London|EC2M 3YD|,https://www.eventbrite.co.uk/e/altfi-london-summit-2020-tickets-64597137778?aff=ebdssbdestsearch,business,£325 - £650
London Constructionline Meet the Buyer 2020,Thu| May 7| 08:30,Tottenham Hotspur Football Stadium|782 High Road|Tottenham|London|,https://www.eventbrite.co.uk/e/london-constructionline-meet-the-buyer-2020-tickets-85497891495?aff=ebdssbdestsearch,"business,community",Free
Arab British Economic Summit 2020,Wed| Jul 1| 08:30,Queen Elizabeth II Centre|Broad Sanctuary|London|SW1P 3EE|,https://www.eventbrite.co.uk/e/arab-british-economic-summit-2020-tickets-85502948621?aff=ebdssbdestsearch,business,£200
The Art of Public Speaking: An Evening with Graham Davies and Philip Collin...,Thu| Apr 23| 19:00,Royal Geographical Society|1 Kensington Gore|Kensington|London| SW7 2AR|,https://www.eventbrite.co.uk/e/the-art-of-public-speaking-an-evening-with-graham-davies-and-philip-collins-tickets-95565925255?aff=ebdssbdestsearch,business,£16.08 - £34
The Business of Cities & The DNA of Cities,Mon| Apr 20| 18:15,Gustave Tuck Lecture Theatre|South Junction Wilkins Building|Gower St|London|,https://www.eventbrite.co.uk/e/the-business-of-cities-the-dna-of-cities-tickets-76027830287?aff=ebdssbdestsearch,business,Free
Dental Innovation Symposium 2020,Fri| May 1| 09:00,Pullman London St Pancras Hotel • London,https://www.eventbrite.co.uk/e/dental-innovation-symposium-2020-tickets-71634694299?aff=ebdssbdestsearch,business,Check event for more detail
