title, date, location, link, category 
The UX Conference in March 2020 in London,Mon| Mar 2| 09:00,Tobacco Dock _Ѣ London,https://www.eventbrite.co.uk/e/the-ux-conference-in-march-2020-in-london-tickets-68974694167?aff=ebdssbdestsearch,"business,science-and-tech"
National Landlord Investment Show - Olympia London - 19th March 2020,Thu| Mar 19| 08:30,Olympia London _Ѣ London,https://www.eventbrite.com/e/national-landlord-investment-show-olympia-london-19th-march-2020-tickets-82206653313?aff=ebdssbdestsearch,business
Retail Without Borders | London | 2020,Tomorrow at 08:30,QEII Centre _Ѣ London,https://www.eventbrite.co.uk/e/retail-without-borders-london-2020-tickets-81695979875?aff=ebdssbdestsearch,business
AFSIC 2020 - Investing in Africa,Tue| May 5| 13:00,Park Plaza Westminster Bridge _Ѣ London,https://www.eventbrite.co.uk/e/afsic-2020-investing-in-africa-tickets-63331782065?aff=ebdssbdestsearch,business
KEVIN GREEN's| KGW Property & Business Training Day 2020,Sat| Feb 29| 10:00,Park Plaza Victoria London _Ѣ London,https://www.eventbrite.co.uk/e/kevin-greens-kgw-property-business-training-day-2020-tickets-89582083423?aff=ebdssbdestsearch,business
PlanNet Marketing UK London Super Saturday,Sat| May 23| 10:00,Millennium Gloucester Hotel London Kensington _Ѣ London,https://www.eventbrite.co.uk/e/plannet-marketing-uk-london-super-saturday-tickets-95112372667?aff=ebdssbdestsearch,business
Mind the Product London 2020,Fri| Oct 2| 09:00,Barbican Hall _Ѣ London,https://www.eventbrite.com/e/mind-the-product-london-2020-tickets-85470674087?aff=ebdssbdestsearch,business
WIRED Health 2020,Wed| Mar 25| 08:30,Kings Place _Ѣ London,https://www.eventbrite.co.uk/e/wired-health-2020-tickets-59522196492?aff=ebdssbdestsearch,"business,science-and-tech,health"
London Job Show | Careers & Job Fair,Fri| Apr 24| 11:00,Westfield London _Ѣ London,https://www.eventbrite.com/e/london-job-show-careers-job-fair-tickets-81338763431?aff=ebdssbdestsearch,business
London's Calling: The Largest European Salesforce Community Event,Fri| Mar 20| 08:30,The Brewery _Ѣ London,https://www.eventbrite.co.uk/e/londons-calling-the-largest-european-salesforce-community-event-tickets-76258789091?aff=ebdssbdestsearch,business
IRPM Annual Seminar 2020,Thu| May 21| 10:30,Queen Elizabeth II (QEII) Centre _Ѣ London,https://www.eventbrite.co.uk/e/irpm-annual-seminar-2020-tickets-73966863881?aff=ebdssbdestsearch,business
7th Annual Commonwealth Africa Summit #CAS2020! Stronger. Valuable,Sun| Mar 8| 19:00,Holiday Inn Regents Park _Ѣ London,https://www.eventbrite.co.uk/e/7th-annual-commonwealth-africa-summit-cas2020-stronger-valuable-tickets-58982376877?aff=ebdssbdestsearch,business
IoT Tech Expo Global 2020,Tue| Mar 17| 08:00,Olympia London _Ѣ London,https://www.eventbrite.co.uk/e/iot-tech-expo-global-2020-tickets-61286052232?aff=ebdssbdestsearch,"business,science-and-tech"
Eric Thomas Presents:1% Club London,Sat| Mar 7| 08:00,Lancaster Terrace _Ѣ London,https://www.eventbrite.com/e/eric-thomas-presents1-club-london-tickets-82874432659?aff=ebdssbdestsearch,business
Gary Vaynerchuk in London 2020,Tue| May 5| 09:00,ILEC Conference Center _Ѣ London,https://www.eventbrite.co.uk/e/gary-vaynerchuk-in-london-2020-tickets-86713904623?aff=ebdssbdestsearch,business
� ESCP London Campus Student Annual Gala Dinner 2020 �,Fri| Mar 6| 19:00,The Landmark London 5* _Ѣ London,https://www.eventbrite.co.uk/e/escp-london-campus-student-annual-gala-dinner-2020-tickets-88503294737?aff=ebdssbdestsearch,business
EMEA Trading Conference 2020,Thu| Mar 12| 08:00,Old Billingsgate _Ѣ London,https://www.eventbrite.co.uk/e/emea-trading-conference-2020-tickets-63851533656?aff=ebdssbdestsearch,business
Sedex Conference Europe 2020,Wed| Mar 18| 08:00,The Brewery _Ѣ London,https://www.eventbrite.co.uk/e/sedex-conference-europe-2020-tickets-77107497601?aff=ebdssbdestsearch,business
CIOL Conference 2020,Fri| Mar 6| 09:00,BMA House _Ѣ London,https://www.eventbrite.co.uk/e/ciol-conference-2020-tickets-71633809653?aff=ebdssbdestsearch,business
Spring Data Conference (South) - 27/03/20 - London,Fri| Mar 27| 10:00,etc venues St Paul's,https://www.eventbrite.co.uk/e/spring-data-conference-south-270320-london-registration-89741552399?aff=ebdssbdestsearch,business
Meyler Campbell Spring Conference 2020,Tue| Mar 31| 08:30,Royal College of Physicians _Ѣ London,https://www.eventbrite.co.uk/e/meyler-campbell-spring-conference-2020-tickets-75833224215?aff=ebdssbdestsearch,business
#SheStartedIt LIVE 2020: Festival of Female Empowerment,Fri| Mar 13| 09:30,Crypt on the Green _Ѣ London,https://www.eventbrite.co.uk/e/shestartedit-live-2020-festival-of-female-empowerment-tickets-83535497923?aff=ebdssbdestsearch,business
App Promotion Summit London 2020,Thu| Apr 2| 09:00,London Marriott Hotel Grosvenor Square _Ѣ London,https://www.eventbrite.com/e/app-promotion-summit-london-2020-registration-65176759442?aff=ebdssbdestsearch,"business,science-and-tech"
National Career Guidance Show London 2020,Tue| Mar 17| 09:30,Olympia London _Ѣ London,https://www.eventbrite.co.uk/e/national-career-guidance-show-london-2020-registration-66550025919?aff=ebdssbdestsearch,business
2020 ESA Awards CEREMONY,Today at 18:00,The Brewery _Ѣ London,https://www.eventbrite.co.uk/e/2020-esa-awards-ceremony-tickets-64059585946?aff=ebdssbdestsearch,business
GCVA Conference 2020,Wed| Mar 4| 09:00,Leonardo Royal London Tower Bridge _Ѣ London,https://www.eventbrite.co.uk/e/gcva-conference-2020-tickets-69169581079?aff=ebdssbdestsearch,business
SVPG Workshop - How To Create Products Customers Love - London - Apr 22-23|...,Wed| Apr 22| 09:00,Wallacespace Spitalfields _Ѣ London,https://www.eventbrite.com/e/svpg-workshop-how-to-create-products-customers-love-london-apr-22-23-2020-tickets-79450046227?aff=ebdssbdestsearch,business
